2017-09-21T18:25:17.104 : editOrder: Order{orderId=3, custName=KROGER, state=AK, taxRate=5.71, productName=WOOD, area=560.0, materialCostPsf=5.15, laborCostPsf=4.75, materialCost=2884.00, laborCost=2660.00, tax=316.56, totalCost=5860.56, errors=[], nextAction=edit, orderDate=2017-09-20}
2017-09-21T19:26:19.414 : removeOrder: Order{orderId=1, custName=KROGER, state=MN, taxRate=6.78, productName=LAMINATE, area=6.25, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=10.94, laborCost=13.13, tax=1.63, totalCost=25.70, errors=[], nextAction=remove, orderDate=2017-09-20}
2017-09-21T19:26:19.416 : removeOrder: Order{orderId=1, custName=KROGER, state=MN, taxRate=6.78, productName=LAMINATE, area=6.25, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=10.94, laborCost=13.13, tax=1.63, totalCost=25.70, errors=[], nextAction=remove, orderDate=2017-09-20}
2017-09-21T20:50:22.805 : removeOrder: Order{orderId=3, custName=TEST, state=MN, taxRate=6.78, productName=CORK, area=34.0, materialCostPsf=6.25, laborCostPsf=3.45, materialCost=212.50, laborCost=117.30, tax=22.36, totalCost=352.16, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:50:22.807 : removeOrder: Order{orderId=3, custName=TEST, state=MN, taxRate=6.78, productName=CORK, area=34.0, materialCostPsf=6.25, laborCostPsf=3.45, materialCost=212.50, laborCost=117.30, tax=22.36, totalCost=352.16, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:53:13.622 : removeOrder: Order{orderId=3, custName=TEST, state=MN, taxRate=6.78, productName=TILE, area=34.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=119.00, laborCost=141.10, tax=17.63, totalCost=277.73, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:53:13.625 : removeOrder: Order{orderId=3, custName=TEST, state=MN, taxRate=6.78, productName=TILE, area=34.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=119.00, laborCost=141.10, tax=17.63, totalCost=277.73, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:56:20.580 : removeOrder: Order{orderId=3, custName=TEST, state=AL, taxRate=6.8, productName=CORK, area=34.0, materialCostPsf=6.25, laborCostPsf=3.45, materialCost=212.50, laborCost=117.30, tax=22.43, totalCost=352.23, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:56:20.584 : removeOrder: Order{orderId=3, custName=TEST, state=AL, taxRate=6.8, productName=CORK, area=34.0, materialCostPsf=6.25, laborCostPsf=3.45, materialCost=212.50, laborCost=117.30, tax=22.43, totalCost=352.23, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:57:58.397 : removeOrder: Order{orderId=3, custName=TEST, state=AL, taxRate=6.8, productName=TILE, area=434.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=1519.00, laborCost=1801.10, tax=225.77, totalCost=3545.87, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T20:57:58.399 : removeOrder: Order{orderId=3, custName=TEST, state=AL, taxRate=6.8, productName=TILE, area=434.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=1519.00, laborCost=1801.10, tax=225.77, totalCost=3545.87, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T21:15:06.406 : removeOrder: Order{orderId=1, custName=WALMART, state=MN, taxRate=6.25, productName=LAMINATE, area=6.25, materialCostPsf=5.25, laborCostPsf=4.25, materialCost=500, laborCost=500, tax=100, totalCost=1100, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T21:16:12.144 : removeOrder: Order{orderId=3, custName=TEST, state=MN, taxRate=6.78, productName=TILE, area=87.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=304.50, laborCost=361.05, tax=45.12, totalCost=710.67, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T21:16:12.147 : removeOrder: Order{orderId=3, custName=TEST, state=MN, taxRate=6.78, productName=TILE, area=87.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=304.50, laborCost=361.05, tax=45.12, totalCost=710.67, errors=[], nextAction=remove, orderDate=2017-09-21}
2017-09-21T22:44:55.052 : addOrder: Order{orderId=3, custName=NAME, state=MN, taxRate=6.78, productId=1, productName=CARPET, area=23.0, materialCostPsf=2.25, laborCostPsf=2.10, materialCost=51.75, laborCost=48.30, tax=6.78, totalCost=106.83, errors=[], nextAction=add, orderDate=2017-09-21}
2017-09-22T06:59:23.108 : removeOrder: Order{orderId=1, custName=MN, state=MN, taxRate=6.78, productId=4, productName=TILE, area=34.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=119.00, laborCost=141.10, tax=17.63, totalCost=277.73, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T06:59:23.109 : removeOrder: Order{orderId=1, custName=MN, state=MN, taxRate=6.78, productId=4, productName=TILE, area=34.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=119.00, laborCost=141.10, tax=17.63, totalCost=277.73, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T06:59:23.110 : removeOrder: Order{orderId=1, custName=MN, state=MN, taxRate=6.78, productId=4, productName=TILE, area=34.0, materialCostPsf=3.50, laborCostPsf=4.15, materialCost=119.00, laborCost=141.10, tax=17.63, totalCost=277.73, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T10:25:56.753 : addOrder: Order{orderId=3, custName=MN, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=34.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=59.50, laborCost=71.40, tax=8.88, totalCost=139.78, errors=[], nextAction=add, orderDate=2017-09-22}
2017-09-22T10:25:56.756 : editOrder: Order{orderId=1, custName=WALMART, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=10.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=17.50, laborCost=21.00, tax=2.61, totalCost=41.11, errors=[], nextAction=edit, orderDate=2017-09-22}
2017-09-22T13:03:44.485 : removeOrder: Order{orderId=1, custName=TEST, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=98.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=171.50, laborCost=205.80, tax=25.58, totalCost=402.88, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T13:03:58.124 : removeOrder: Order{orderId=1, custName=TEST, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=98.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=171.50, laborCost=205.80, tax=25.58, totalCost=402.88, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T13:04:03.191 : removeOrder: Order{orderId=1, custName=TEST, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=98.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=171.50, laborCost=205.80, tax=25.58, totalCost=402.88, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T13:09:18.623 : addOrder: Order{orderId=2, custName=TEST, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=34.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=59.50, laborCost=71.40, tax=8.88, totalCost=139.78, errors=[], nextAction=add, orderDate=2017-09-22}
2017-09-22T13:09:18.625 : removeOrder: Order{orderId=3, custName=MN, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=34.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=59.50, laborCost=71.40, tax=8.88, totalCost=139.78, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T13:09:18.626 : removeOrder: Order{orderId=3, custName=MN, state=MN, taxRate=6.78, productId=3, productName=LAMINATE, area=34.0, materialCostPsf=1.75, laborCostPsf=2.10, materialCost=59.50, laborCost=71.40, tax=8.88, totalCost=139.78, errors=[], nextAction=remove, orderDate=2017-09-22}
2017-09-22T13:09:18.628 : addOrder: Order{orderId=4, custName=TRISTAN, state=MN, taxRate=6.78, productId=5, productName=WOOD, area=34.0, materialCostPsf=5.15, laborCostPsf=4.75, materialCost=175.10, laborCost=161.50, tax=22.82, totalCost=359.42, errors=[], nextAction=add, orderDate=2017-09-22}
